"Year","rtCode","ptCode","NW_M","TV_M","NW_X","TV_X","UV_M","UV_X","metaData"
2013,4,586,633000,144221.149865694,633000,131110.13624154,227.837519535062,207.125017759147,"mirrored import for non-reporter"
2013,4,842,21672,24974.4,21672,22704,1152.38095238095,1047.61904761905,"mirrored import for non-reporter"
2013,8,32,333201.5,343599.886318,306920,260892,1031.20750152085,850.032581780269,NA
2013,8,76,3840,5623.09739675,0,0,1464.34828040365,0,NA
2013,8,100,25000,11106.3500926291,25000,8795.29931889,444.254003705164,351.8119727556,NA
2013,8,152,1387.2,2380.30324308,0,0,1715.90487534602,0,NA
2013,8,251,834629.91,1467221.04501582,280242,553315.3596467,1757.93010463263,1974.41982160668,NA
2013,8,300,311610.29,248559.376909592,449230,269466.39792,797.661004421875,599.840611535294,NA
2013,8,348,15781.66,31373.74281966,46250,125124,1987.98750065963,2705.38378378378,NA
2013,8,381,83584.95,219244.01089767,593918,937659.1128852,2623.00821975332,1578.76863958526,NA
2013,8,643,8850472,2682352.98633695,8850472,2470725.63,303.074568942419,279.163148586878,NA
2013,8,688,50765708.4,17433515.1914173,50650130,12292901,343.411246309277,242.702259599334,NA
2013,8,724,10039.04,22463.59788827,0,0,2237.62410432372,0,NA
2013,8,792,35553.26,149343.50766765,16195,64168,4200.55735163667,3962.21055881445,NA
2013,8,804,1463060,477515.828819127,1463060,431602.65,326.381576161693,294.999965825052,NA
2013,8,807,0,0,1400,1934.05758491756,0,1381.46970351254,NA
2013,8,818,1950650,481061.694019284,1405341.40620782,413273.065068802,246.616099258854,294.073072381735,NA
2013,12,32,2242668792,648558076.123694,2147169762,569310191,289.190306851023,265.144471143125,NA
2013,12,76,710810136,178327772.776075,766442295,155134633,250.879614322319,202.408757987449,NA
2013,12,100,82484088,19140436.314031,81185900,16812174.9378622,232.050044779922,207.082448280578,NA
2013,12,156,300,379.830709,0,0,1266.10236333333,0,NA
2013,12,251,113317,383484.859749,81696,156702.53214155,3384.17765868316,1918.11755950781,NA
2013,12,348,5500000,1544656.493794,0,0,280.846635235273,0,NA
2013,12,504,0,0,16408000,5058615.104037,0,308.301749392796,NA
2013,12,642,74804902,16608462.587255,76103090,15874251.95,222.023719612052,208.58879646017,NA
2013,12,643,7938180,2425671.660533,7938180,2159184.96,305.570251686533,272,NA
2013,12,688,9770610,2921868.392106,0,0,299.046670791895,0,NA
2013,12,699,0,0,179000,38619.13301196,0,215.749346435531,NA
2013,12,710,5000,6017.149485,5000,5247.39182384,1203.429897,1049.478364768,NA
2013,12,757,1.4e+07,4253917.613275,0,0,303.851258091071,0,NA
2013,12,792,2e+05,113492.984553,125000,95000,567.464922765,760,NA
2013,12,804,48704155,13086617.799109,48727155,11173299.15,268.696126626342,229.303335070558,NA
2013,12,858,21998119,5211948.901063,0,0,236.927025490816,0,NA
2013,20,724,30994,20159.8892765676,28594,19479.0013598579,650.444901483113,681.226878361121,NA
2013,24,32,19036270,8519143.6,19036270,7744676,447.521683607135,406.837894188305,"mirrored import for non-reporter"
2013,24,76,12553998,3663920.7,12553998,3330837,291.852898176342,265.320816523947,"mirrored import for non-reporter"
2013,24,376,13839.7841129745,12100,13839.7841129745,11000,874.291094516171,794.810085923792,"mirrored import for non-reporter"
2013,24,484,28,61.6,28,56,2200,2000,"mirrored import for non-reporter"
2013,24,516,145890,63824.542933701,145890,58022.31175791,437.484014899589,397.712740817808,"mirrored import for non-reporter"
2013,24,620,154858.577902277,180201.192560862,154858.577902277,163819.26596442,1163.65005414539,1057.86368558672,"mirrored import for non-reporter"
2013,24,710,5578045,3637265.88765144,5578045,3306605.3524104,652.068222406137,592.789293096488,"mirrored import for non-reporter"
2013,24,842,41133,51032.3,41133,46393,1240.6656455887,1127.87785962609,"mirrored import for non-reporter"
2013,24,894,72000,145544.637762581,72000,132313.307056892,2021.45330225807,1837.68482023461,"mirrored import for non-reporter"
2013,28,124,1515.93,3009.6414348,14551,4774.13264636,1985.34327759197,328.096532634183,NA
2013,28,251,0,0,6070,11886.63362904,0,1958.25924695881,NA
2013,28,780,626.24,404.4662622,626.24,364.01963598,645.864624105774,581.278161695197,"mirrored export for non-reporter"
2013,28,842,88521.3687421707,77121.6932486,0,0,871.221201665175,0,NA
2013,31,32,0,0,331500,253553,0,764.865761689291,NA
2013,31,268,349392.334898303,298581,413396,201435.595223445,854.572267840127,487.270305526529,NA
2013,31,276,0,0,25,63.74374656,0,2549.7498624,NA
2013,31,381,307466.097237262,262752,39991,205383.20782044,854.572267840127,5135.73573605161,NA
2013,31,643,28705738.9681048,24531128.45,131167036.05,31424536.87,854.572267840126,239.576480618356,NA
2013,31,792,341805.451677313,292097.46,168950,468313,854.572267840126,2771.90292986091,NA
2013,31,804,2575263.76974793,2200749,8986476,2441144.76,854.572267840126,271.646500808548,NA
2013,31,842,91757.0145333449,78413,0,0,854.572267840126,0,NA
2013,32,36,1139.81972339459,1041,0,0,913.302321966944,0,NA
2013,32,40,15084.8187600454,13777,0,0,913.302321966944,0,NA
2013,32,68,244657,43640,76051.5421479114,44056.82,178.372170017616,579.302125318046,NA
2013,32,76,1225248.3403521,3312004,1223807,2797156,2703.12873800607,2285.61856567253,NA
2013,32,152,87836.4000695905,612810,65611.4148459125,124882.590360354,6976.72035186422,1903.3668250203,NA
2013,32,191,86.4992873661602,79,0,0,913.302321966944,0,NA
2013,32,251,193810.241543348,177007,30374.7650865846,71528.26932113,913.300548982654,2354.85835420407,NA
2013,32,276,15241.3854213271,273369,14500,234064.38137888,17935.9679217533,16142.3711295779,NA
